sku,categories,name,description,short_description
0.5INV-.5,"All Products Products,All Products Products Optical Tooling Products",INVAR TRGT HLDR-EN,"<h2>Use an SMR target with your Invar System</h2>
<div class=""tabs"">
</div><div class=""tab"" id=""copy"">The <strong>0.5INV</strong> Series magnetic adapters provide an SMR nest which fits on any of our Invar System bars.  With both English and metric versions available, the center point of a 0.5"" diameter SMR may be held at a specified distance from the end of the Invar bar. Different models have different offsets (see table below).  The SMR seats on a conical land and is held in place by a magnet.  The adapter's threaded mount is 3/8""-24 for compatibility with our Invar system.</div>
<div class=""tab""><img class=""aligncenter size-medium wp-image-513"" title=""0.5INV "" alt="""" src=""{{store url=""""}}wp-content/uploads/2013/03/0.5INV+Bar+SMR-300x172.jpg"" width=""300"" height=""172""></img></div>
<div class=""tab"">Choose the desired model number from the table below, which shows both the English and metric versions of this adapter.</div>
<div class=""tab"" id=""copy"">
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" width=""125px"">Model</td>
<td class=""row1"" width=""75px"">Offset ""A""</td>
<td class=""row1"" width=""100px"">Tolerance</td>
</tr>
<tr>
<td>0.5INV-.5</td>
<td>0.500""</td>
<td>±0.0005""</td>
</tr>
<tr>
<td>0.5INV-1</td>
<td>1.000""</td>
<td>±0.0005""</td>
</tr>
<tr>
<td>0.5INV-12MM</td>
<td>12 mm</td>
<td>±0.013 mm</td>
</tr>
<tr>
<td>0.5INV-25MM</td>
<td>25 mm</td>
<td>±0.013 mm</td>
</tr>
</tbody>
</table>
</div>
<div class=""tabs"" id=""usedwith"">
<h4>May Be Used With</h4>
<p>Any 0.5"" diameter SMR<br>Our Invar System tubing</br></p>
</div>
<div class=""tab"" id=""downloads"" style=""margin-top:-130px;"">
<hr size=""1"">
<h4><img alt=""STP"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> Download Model</img></h4>
</hr></div>",INVAR TRGT HLDR-EN
0.5INV-.5,,,,
0.5INV-30MM,"All Products Products,All Products Products Optical Tooling Products",INVAR TRGT HLDR-M,"<h2>Use an SMR target with your Invar System</h2>
<div class=""tabs"">
</div><div class=""tab"" id=""copy"">The <strong>0.5INV</strong> Series magnetic adapters provide an SMR nest which fits on any of our Invar System bars.  With both English and metric versions available, the center point of a 0.5"" diameter SMR may be held at a specified distance from the end of the Invar bar. Different models have different offsets (see table below).  The SMR seats on a conical land and is held in place by a magnet.  The adapter's threaded mount is 3/8""-24 for compatibility with our Invar system.</div>
<div class=""tab""><img class=""aligncenter size-medium wp-image-513"" title=""0.5INV "" alt="""" src=""{{store url=""""}}wp-content/uploads/2013/03/0.5INV+Bar+SMR-300x172.jpg"" width=""300"" height=""172""></img></div>
<div class=""tab"">Choose the desired model number from the table below, which shows both the English and metric versions of this adapter.</div>
<div class=""tab"" id=""copy"">
<table style=""margin-left: auto; margin-right: auto;"">
<tbody>
<tr>
<td class=""row1"" width=""125px"">Model</td>
<td class=""row1"" width=""75px"">Offset ""A""</td>
<td class=""row1"" width=""100px"">Tolerance</td>
</tr>
<tr>
<td>0.5INV-.5</td>
<td>0.500""</td>
<td>±0.0005""</td>
</tr>
<tr>
<td>0.5INV-1</td>
<td>1.000""</td>
<td>±0.0005""</td>
</tr>
<tr>
<td>0.5INV-12MM</td>
<td>12 mm</td>
<td>±0.013 mm</td>
</tr>
<tr>
<td>0.5INV-25MM</td>
<td>25 mm</td>
<td>±0.013 mm</td>
</tr>
</tbody>
</table>
</div>
<div class=""tabs"" id=""usedwith"">
<h4>May Be Used With</h4>
<p>Any 0.5"" diameter SMR<br>Our Invar System tubing</br></p>
</div>
<div class=""tab"" id=""downloads"" style=""margin-top:-130px;"">
<hr size=""1"">
<h4><img alt=""STP"" src=""{{store url=""""}}wp-content/uploads/2013/03/icon-stp.gif"" width=""16"" height=""16""> Download Model</img></h4>
</hr></div>",INVAR TRGT HLDR-M
0.5RH,"All Products Products,All Products Products 3D Metrology Products,All Products Products 3D Metrology Products Targeting for 3D Metrology,All Products Products 3D Metrology Products Targeting for 3D Metrology Laser Tracker Targeting Accessories",0.5RH SMR Handle,"<h2>To help hold and place 0.5"" SMRs</h2>
<div>The <strong>0.5RH</strong> ""handle"" gives you a way to handle those small - and easily dropped - 0.5"" SMRs. A magnet secures the SMR to the end of the handle, and the 4"" rubberized grip gives you something to hold on to. Note: this tool is designed to increase your dexterity and ""drop"" safety factor when moving and placing 0.5"" SMRs - but it's not a foolproof guarantee! We always recommend care when handling SMRs.</div>
<div style=""margin-top: 2em;"">
<h4>May Be Used With</h4>
<p>0.5"" SMR</p>
</div>",<p><strong>Ships in 1 Week</strong></p>
0.5RH,,,,
0.5TH-.3125-.25,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-.3125-.25,,,,
0.5TH-.3125-8MM,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
0.5TH-.3125-8MM,,,,
0.5TH-.5-.3125,,0.5 TARGET HOLDERS,,"0.5"" TARGET HOLDER"
